# Hp07_10cm_shield_Otto2016
#     unit:            uSv/h/GBq
#A    isotope    Hp07_10cm_shield
89    Nb                  6300.0
89    Nb_isomer           8500.0
90    Nb                 12600.0
91    Nb                  4900.0
91    Nb_isomer           3800.0
92    Nb                 10000.0
92    Nb_isomer           7300.0
93    Nb_isomer            800.0
94    Nb                  4700.0
94    Nb_isomer           3000.0
95    Nb                  2300.0
95    Nb_isomer           3900.0
96    Nb                  8000.0
97    Nb                  2700.0
98    Nb_isomer           7300.0
99    Nb                  5600.0
99    Nb_isomer           1800.0
89    Mo                  6400.0
90    Mo                 12900.0
91    Mo                  5900.0
91    Mo_isomer           5100.0
93    Mo                  4400.0
93    Mo_isomer           7800.0
99    Mo                  1000.0
101   Mo                  4400.0
102   Mo                   300.0
91    Tc                  7500.0
91    Tc_isomer           7800.0
92    Tc                 16400.0
93    Tc                  6300.0
93    Tc_isomer           4100.0
94    Tc                 11900.0
94    Tc_isomer           8000.0
95    Tc                  6600.0
95    Tc_isomer           8300.0
96    Tc                 11300.0
96    Tc_isomer           2100.0
97    Tc                  4100.0
97    Tc_isomer           2900.0
98    Tc                  5100.0
99    Tc                     0.0
99    Tc_isomer           2600.0
101   Tc                  3600.0
102   Tc                   300.0
102   Tc_isomer           6400.0
104   Tc                  6400.0
105   Tc                  5500.0
92    Ru                 21600.0
94    Ru                  7100.0
95    Ru                  8800.0
97    Ru                  7500.0
103   Ru                  3000.0
105   Ru                  4200.0
106   Ru                     0.0
107   Ru                  1600.0
108   Ru                  1500.0
94    Rh                 11000.0
95    Rh                  8600.0
95    Rh_isomer           3600.0
96    Rh                 14500.0
96    Rh_isomer           5300.0
97    Rh                  8500.0
97    Rh_isomer           8600.0
98    Rh                  8700.0
99    Rh                  9000.0
99    Rh_isomer           7400.0
100   Rh                  9300.0
100   Rh_isomer           4700.0
101   Rh                  8500.0
101   Rh_isomer           6700.0
102   Rh                  5100.0
102   Rh_isomer          12200.0
103   Rh_isomer            400.0
104   Rh                   100.0
104   Rh_isomer           4100.0
105   Rh                   900.0
106   Rh                  1000.0
106   Rh_isomer           9800.0
107   Rh                  3300.0
108   Rh                  2000.0
109   Rh                  3700.0
96    Pd                  9200.0
97    Pd                 10100.0
98    Pd                  7100.0
99    Pd                  8800.0
100   Pd                  8200.0
101   Pd                  8200.0
103   Pd                  3400.0
107   Pd                     0.0
109   Pd                  1500.0
109   Pd_isomer           3000.0
111   Pd                   200.0
112   Pd                  1600.0
114   Pd                   400.0
99    Ag                 10500.0
100   Ag_isomer          10000.0
101   Ag                  9400.0
102   Ag                 11700.0
102   Ag_isomer           5000.0
103   Ag                  7600.0
104   Ag                 11300.0
104   Ag_isomer           8200.0
105   Ag                  7800.0
105   Ag_isomer              0.0
106   Ag                  5400.0
106   Ag_isomer          13000.0
108   Ag                   200.0
108   Ag_isomer          10700.0
109   Ag_isomer           1500.0
110   Ag                   100.0
110   Ag_isomer           7700.0
111   Ag                   300.0
111   Ag_isomer            800.0
112   Ag                  1800.0
113   Ag                   600.0
113   Ag_isomer           2100.0
114   Ag                   800.0
115   Ag                  1900.0
116   Ag                  4300.0
117   Ag                  3200.0
101   Cd                 10000.0
102   Cd                  7200.0
103   Cd                  7400.0
104   Cd                  5600.0
105   Cd                  5700.0
107   Cd                  4600.0
109   Cd                  4300.0
111   Cd_isomer           5600.0
113   Cd                     0.0
113   Cd_isomer              0.0
115   Cd                  1300.0
115   Cd_isomer            100.0
117   Cd                  3700.0
117   Cd_isomer           3400.0
118   Cd                     0.0
119   Cd                  4100.0
119   Cd_isomer           4100.0
103   In                 10900.0
105   In                  9800.0
106   In                 14200.0
106   In_isomer           9400.0
107   In                  7900.0
108   In                 14500.0
108   In_isomer           7900.0
109   In                  7000.0
109   In_isomer           2700.0
110   In                 12400.0
110   In_isomer           7700.0
111   In                  9300.0
111   In_isomer           2900.0
112   In                  2400.0
112   In_isomer           2400.0
113   In_isomer           3000.0
114   In                     0.0
114   In_isomer           2000.0
115   In                     0.0
115   In_isomer           2800.0
116   In_isomer           4700.0
117   In                  5800.0
117   In_isomer           1800.0
118   In                   100.0
118   In_isomer           6200.0
119   In                  3000.0
119   In_isomer            500.0
121   In                  2600.0
121   In_isomer           1600.0
