#     unit:            uSv/h/GBq
#A    isotope    Hp10_100cm_unshield
134   Pr_isomer           1722.0
135   Pr                   106.0
136   Pr                   381.0
137   Pr                    34.0
138   Pr                   486.0
138   Pr_isomer            369.0
139   Pr                    19.0
140   Pr                    39.0
142   Pr                    10.0
142   Pr_isomer              0.0
143   Pr                     0.0
144   Pr                   108.0
144   Pr_isomer              6.0
145   Pr                     4.0
146   Pr                   964.0
147   Pr                    95.0
148   Pr                  1515.0
148   Pr_isomer           1254.0
134   Nd                    74.0
135   Nd                   433.0
136   Nd                    57.0
137   Nd                   162.0
138   Nd                    18.0
139   Nd                    47.0
139   Nd_isomer            259.0
140   Nd                    15.0
141   Nd                    19.0
141   Nd_isomer            113.0
144   Nd                     0.0
147   Nd                    30.0
149   Nd                    69.0
151   Nd                   137.0
152   Nd                    31.0
136   Pm                  3481.0
137   Pm_isomer            753.0
139   Pm                   449.0
140   Pm                  2950.0
140   Pm_isomer            646.0
141   Pm                    86.0
142   Pm                   850.0
143   Pm                    61.0
144   Pm                   267.0
145   Pm                    15.0
146   Pm                   132.0
147   Pm                     0.0
148   Pm                    88.0
148   Pm_isomer            327.0
149   Pm                     2.0
150   Pm                   279.0
151   Pm                    60.0
152   Pm                   422.0
152   Pm_isomer            293.0
153   Pm                    19.0
154   Pm                   334.0
154   Pm_isomer            337.0
139   Sm                   625.0
140   Sm                    72.0
141   Sm                   285.0
141   Sm_isomer            299.0
142   Sm                    16.0
143   Sm                    44.0
143   Sm_isomer            111.0
145   Sm                    29.0
146   Sm                     0.0
147   Sm                     0.0
148   Sm                     0.0
151   Sm                     0.0
153   Sm                    19.0
155   Sm                    21.0
156   Sm                    23.0
157   Sm                    76.0
142   Eu                  5210.0
142   Eu_isomer           2508.0
143   Eu                  1273.0
144   Eu                  3183.0
145   Eu                   194.0
146   Eu                   370.0
147   Eu                    87.0
148   Eu                   365.0
149   Eu                    21.0
150   Eu                   267.0
150   Eu_isomer              8.0
152   Eu                   189.0
152   Eu_isomer             50.0
152   Eun                   17.0
154   Eu                   193.0
154   Eu_isomer             20.0
155   Eu                    14.0
