#     unit:            uSv/h/GBq
#A    isotope    Hp07_10cm_unshield
3     H                      0.0
7     Be                   300.0
10    Be               1726400.0
10    C                1171000.0
11    C                1578600.0
14    C                  31700.0
13    N                1443600.0
16    N                 851800.0
14    O                1191100.0
15    O                1217900.0
19    O                 908800.0
17    F                1214700.0
18    F                1675600.0
19    Ne               1080200.0
24    Ne               1158500.0
22    Na               1563800.0
24    Na               1323600.0
27    Mg               1211800.0
28    Mg               1336500.0
26    Al               1130300.0
28    Al                982800.0
29    Al               1074800.0
31    Si               1281400.0
32    Si                321200.0
30    P                 940700.0
32    P                1211300.0
33    P                 463900.0
35    S                  52300.0
37    S                1179100.0
38    S                1401600.0
34    Cl                857700.0
34    Cl_isomer         744100.0
36    Cl               1511300.0
38    Cl               1052200.0
39    Cl               1156300.0
40    Cl                965900.0
37    Ar                     0.0
39    Ar               1560900.0
41    Ar               1395500.0
42    Ar               1559600.0
43    Ar               1016800.0
44    Ar               1363600.0
38    K                 986500.0
40    K                1133600.0
42    K                 973300.0
43    K                1516900.0
44    K                1040000.0
45    K                1101000.0
46    K                 881300.0
41    Ca                     0.0
45    Ca                491100.0
47    Ca               1457800.0
49    Ca               1117500.0
42    Sc_isomer         978200.0
43    Sc               1319400.0
44    Sc               1237400.0
44    Sc_isomer         298500.0
46    Sc               1015200.0
47    Sc               1356200.0
48    Sc               1512900.0
49    Sc               1133600.0
50    Sc                922000.0
44    Ti                  3000.0
45    Ti               1315900.0
51    Ti               1117800.0
52    Ti               1184300.0
47    V                1114400.0
48    V                 894000.0
49    V                      0.0
50    V                  80200.0
52    V                1032500.0
53    V                1054000.0
48    Cr                 24800.0
49    Cr               1261000.0
51    Cr                   700.0
55    Cr               1019300.0
56    Cr               1278600.0
50    Mn_isomer         929600.0
51    Mn               1048700.0
52    Mn                552600.0
52    Mn_isomer         969400.0
53    Mn                     0.0
54    Mn                  2500.0
56    Mn               1197500.0
57    Mn               1033800.0
58    Mn_isomer         908700.0
52    Fe                980700.0
53    Fe                989800.0
53    Fe_isomer           9800.0
55    Fe                     0.0
59    Fe                953800.0
60    Fe                163400.0
61    Fe               1042000.0
62    Fe               1132700.0
54    Co_isomer         863800.0
55    Co               1065100.0
56    Co                259400.0
57    Co                 24900.0
58    Co                276000.0
58    Co_isomer              0.0
60    Co                805600.0
60    Co_isomer           3100.0
61    Co               1360400.0
62    Co                923800.0
62    Co_isomer        1051300.0
56    Ni                 45400.0
57    Ni                740800.0
59    Ni                     0.0
63    Ni                     0.0
65    Ni               1253600.0
66    Ni                436200.0
57    Cu                799000.0
59    Cu                921800.0
60    Cu               1024800.0
61    Cu                909200.0
62    Cu                942300.0
64    Cu                876000.0
66    Cu               1038400.0
67    Cu               1194200.0
69    Cu               1129700.0
60    Zn                975800.0
61    Zn                878700.0
62    Zn                159500.0
63    Zn               1000600.0
65    Zn                 22200.0
69    Zn               1488300.0
69    Zn_isomer          81000.0
71    Zn               1052700.0
71    Zn_isomer        1303800.0
72    Zn                677700.0
64    Ga                909000.0
65    Ga               1021300.0
66    Ga                528500.0
67    Ga                 16900.0
68    Ga               1030900.0
70    Ga               1227300.0
72    Ga               1358600.0
73    Ga               1374800.0
74    Ga               1109600.0
66    Ge                427900.0
67    Ge                981500.0
68    Ge                   900.0
69    Ge                352600.0
71    Ge                  1000.0
75    Ge               1410200.0
77    Ge               1330600.0
78    Ge               1497100.0
68    As                863100.0
69    As                928300.0
70    As                995300.0
71    As                730800.0
72    As                919800.0
73    As                  2100.0
74    As                927600.0
76    As               1046900.0
77    As               1473500.0
78    As               1062800.0
79    As               1105500.0
70    Se                695900.0
71    Se                946300.0
72    Se                 13600.0
73    Se                943400.0
73    Se_isomer         260500.0
75    Se                 48200.0
77    Se_isomer        1274800.0
79    Se                 32500.0
79    Se_isomer           6700.0
81    Se               1255400.0
81    Se_isomer           7400.0
83    Se               1424200.0
83    Se_isomer        1010100.0
84    Se               1304500.0
72    Br                854100.0
73    Br                921400.0
74    Br                974000.0
74    Br_isomer         908500.0
75    Br                932300.0
76    Br                640100.0
76    Br_isomer          14000.0
77    Br                 61500.0
77    Br_isomer           6100.0
78    Br                947900.0
80    Br               1095100.0
80    Br_isomer          11500.0
82    Br               1221400.0
82    Br_isomer          29800.0
83    Br               1470100.0
84    Br               1089100.0
84    Br_isomer        1104600.0
85    Br               1047000.0
74    Kr               1017900.0
75    Kr                912400.0
76    Kr                 25500.0
77    Kr               1000800.0
79    Kr                143600.0
81    Kr                  7300.0
81    Kr_isomer        1061800.0
83    Kr_isomer           1900.0
85    Kr               1470900.0
85    Kr_isomer        1397200.0
87    Kr               1023900.0
88    Kr               1339000.0
89    Kr               1037200.0
77    Rb                898900.0
78    Rb                886600.0
78    Rb_isomer         800200.0
79    Rb               1125900.0
80    Rb                842100.0
81    Rb                441800.0
81    Rb_isomer          19000.0
82    Rb                893300.0
82    Rb_isomer         381800.0
83    Rb                 12100.0
84    Rb                467500.0
84    Rb_isomer        1126200.0
86    Rb               1213600.0
86    Rb_isomer          26000.0
87    Rb               1143300.0
88    Rb                895000.0
89    Rb               1152000.0
90    Rb                944300.0
90    Rb_isomer         976500.0
79    Sr                873100.0
80    Sr                191400.0
81    Sr               1052200.0
82    Sr                  6200.0
83    Sr                405400.0
85    Sr                 18400.0
85    Sr_isomer          87500.0
87    Sr_isomer         304000.0
89    Sr               1254200.0
90    Sr               1456800.0
91    Sr               1265600.0
