Target: 27Al
Thickness: 0.8106 mg/cm2

Beam: 84Kr
Energy: 362 MeV
Rate: 1.00e+09 pps
Running Time: 3600.0 sec

#A	Isotope	xsec(mb)	t1/2_value	t1/2_unit	Recoil_E(MeV)	Prodx_Rate(pps)	Prodx_A(Bq)	Stopping_Ratio
107	In	37.4	32.4	m	264.07	675.94	488.63	1.0
107	In_m	37.4	50.4	s	264.07	675.94	675.94	1.0
107	Cd	21.7	6.5	h	264.07	392.19	39.66	1.0
107	Ag	1.97	14000000000.0	y	264.07	35.6	0.0	1.0
107	Ag_m	1.97	44.3	s	264.07	35.6	35.6	1.0
106	In	179.0	6.2	m	261.61	3235.13	3231.18	1.0
106	In_m	179.0	5.2	m	261.61	3235.13	3234.05	1.0
106	Cd	303.0	14000000000.0	y	261.61	5476.23	0.0	1.0
106	Ag	33.5	23.96	m	261.61	605.46	498.7	1.0
106	Ag_m	33.5	8.28	d	261.61	605.46	2.11	1.0
105	In	15.8	5.07	m	259.14	285.56	285.48	1.0
105	In_m	15.8	48.0	s	259.14	285.56	285.56	1.0
105	Cd	38.4	55.5	m	259.14	694.02	365.92	1.0
105	Ag	9.85	41.29	d	259.14	178.02	0.12	1.0
105	Ag_m	9.85	7.23	m	259.14	178.02	177.46	1.0
104	Ag	50.2	69.2	m	256.67	907.28	409.79	1.0
104	Ag_m	50.2	33.5	m	256.67	907.28	645.04	1.0
104	Pd	15.8	14000000000.0	y	256.67	285.56	0.0	1.0
103	Ag	163.0	65.7	m	254.2	2945.96	1381.47	1.0
103	Ag_m	163.0	5.7	s	254.2	2945.96	2945.96	1.0
103	Pd	57.1	16.99	d	254.2	1031.99	1.75	1.0
103	Rh	1.97	14000000000.0	y	254.2	35.6	0.0	1.0
103	Rh_m	1.97	56.11	m	254.2	35.6	18.63	1.0
102	Ag	10.8	12.9	m	251.73	195.19	187.42	1.0
102	Ag_m	10.8	7.7	m	251.73	195.19	194.31	1.0
102	Pd	5.91	14000000000.0	y	251.73	106.81	0.0	1.0
102	Rh	1.97	207.3	d	251.73	35.6	0.0	1.0
102	Rh_m	1.97	3.74	y	251.73	35.6	0.0	1.0
101	Rh	10.8	3.3	y	249.27	195.19	0.0	1.0
101	Rh_m	10.8	4.34	d	249.27	195.19	1.29	1.0
101	Ru	1.97	14000000000.0	y	249.27	35.6	0.0	1.0
100	Rh	20.7	20.5	h	246.8	374.12	12.44	1.0
100	Rh_m	20.7	4.6	m	246.8	374.12	374.07	1.0
100	Ru	1.97	14000000000.0	y	246.8	35.6	0.0	1.0
99	Rh	0.98	16.1	d	244.33	17.8	0.03	1.0
99	Rh_m	0.98	4.7	h	244.33	17.8	2.44	1.0
