Target: 27Al
Thickness: 0.8106 mg/cm2

Beam: 84Kr
Energy: 391 MeV
Rate: 1.00e+09 pps
Running Time: 3600.0 sec

#A	Isotope	xsec(mb)	t1/2_value	t1/2_unit	Recoil_E(MeV)	Prodx_Rate(pps)	Prodx_A(Bq)	Stopping_Ratio
107	In	10.1	32.4	m	285.23	182.54	131.96	1.0
107	In_m	10.1	50.4	s	285.23	182.54	182.54	1.0
107	Cd	4.49	6.5	h	285.23	81.15	8.21	1.0
107	Ag	1.12	14000000000.0	y	285.23	20.24	0.0	1.0
107	Ag_m	1.12	44.3	s	285.23	20.24	20.24	1.0
106	In	117.0	6.2	m	282.56	2114.59	2112.0	1.0
106	In_m	117.0	5.2	m	282.56	2114.59	2113.87	1.0
106	Cd	192.0	14000000000.0	y	282.56	3470.09	0.0	1.0
106	Ag	41.5	23.96	m	282.56	750.05	617.79	1.0
106	Ag_m	41.5	8.28	d	282.56	750.05	2.61	1.0
105	In	60.6	5.07	m	279.9	1095.25	1094.95	1.0
105	In_m	60.6	48.0	s	279.9	1095.25	1095.25	1.0
105	Cd	197.0	55.5	m	279.9	3560.46	1877.25	1.0
105	Ag	40.4	41.29	d	279.9	730.16	0.51	1.0
105	Ag_m	40.4	7.23	m	279.9	730.16	727.84	1.0
105	Pd	2.24	14000000000.0	y	279.9	40.48	0.0	1.0
104	Ag	19.1	69.2	m	277.23	345.2	155.92	1.0
104	Ag_m	19.1	33.5	m	277.23	345.2	245.42	1.0
104	Pd	5.61	14000000000.0	y	277.23	101.39	0.0	1.0
103	Ag	158.0	65.7	m	274.57	2855.59	1339.1	1.0
103	Ag_m	158.0	5.7	s	274.57	2855.59	2855.59	1.0
103	Pd	74.0	16.99	d	274.57	1337.43	2.27	1.0
103	Rh	3.36	14000000000.0	y	274.57	60.73	0.0	1.0
103	Rh_m	3.36	56.11	m	274.57	60.73	31.78	1.0
102	Ag	85.2	12.9	m	271.9	1539.85	1478.53	1.0
102	Ag_m	85.2	7.7	m	271.9	1539.85	1532.9	1.0
102	Pd	40.4	14000000000.0	y	271.9	730.16	0.0	1.0
101	Rh	4.49	3.3	y	269.24	81.15	0.0	1.0
101	Rh_m	4.49	4.34	d	269.24	81.15	0.54	1.0
100	Rh	41.5	20.5	h	266.57	750.05	24.93	1.0
100	Rh_m	41.5	4.6	m	266.57	750.05	749.96	1.0
100	Ru	4.49	14000000000.0	y	266.57	81.15	0.0	1.0
99	Rh	12.3	16.1	d	263.9	222.3	0.4	1.0
99	Rh_m	12.3	4.7	h	263.9	222.3	30.48	1.0
99	Ru	2.24	14000000000.0	y	263.9	40.48	0.0	1.0
97	Tc	3.36	6.0	y	258.57	60.73	0.0	1.0
97	Tc_m	3.36	91.0	d	258.57	60.73	0.02	1.0
94	Nb	1.12	4.0	y	250.58	20.24	0.0	1.0
94	Nb_m	1.12	6.26	m	250.58	20.24	20.22	1.0
