Target: 27Al
Thickness: 0.8106 mg/cm2

Beam: 84Kr
Energy: 333 MeV
Rate: 1.00e+09 pps
Running Time: 3600.0 sec

#A	Isotope	xsec(mb)	t1/2_value	t1/2_unit	Recoil_E(MeV)	Prodx_Rate(pps)	Prodx_A(Bq)	Stopping_Ratio
108	In	1.63	58.0	m	245.19	29.46	15.08	1.0
108	In_m	1.63	39.6	m	245.19	29.46	19.15	1.0
107	In	132.0	32.4	m	242.92	2385.69	1724.58	1.0
107	In_m	132.0	50.4	s	242.92	2385.69	2385.69	1.0
107	Cd	75.7	6.5	h	242.92	1368.15	138.36	1.0
107	Ag	10.6	14000000000.0	y	242.92	191.58	0.0	1.0
107	Ag_m	10.6	44.3	s	242.92	191.58	191.58	1.0
106	In	160.0	6.2	m	240.65	2891.74	2888.2	1.0
106	In_m	160.0	5.2	m	240.65	2891.74	2890.77	1.0
106	Cd	210.0	14000000000.0	y	240.65	3795.41	0.0	1.0
106	Ag	10.6	23.96	m	240.65	191.58	157.8	1.0
106	Ag_m	10.6	8.28	d	240.65	191.58	0.67	1.0
106	Pd	0.81	14000000000.0	y	240.65	14.69	0.0	1.0
105	In	2.44	5.07	m	238.38	44.1	44.09	1.0
105	In_m	2.44	48.0	s	238.38	44.1	44.1	1.0
104	Ag	86.2	69.2	m	236.11	1557.93	703.66	1.0
104	Ag_m	86.2	33.5	m	236.11	1557.93	1107.62	1.0
104	Pd	24.4	14000000000.0	y	236.11	440.99	0.0	1.0
103	Ag	69.1	65.7	m	233.84	1248.87	585.64	1.0
103	Ag_m	69.1	5.7	s	233.84	1248.87	1248.87	1.0
103	Pd	13.0	16.99	d	233.84	234.95	0.4	1.0
101	Rh	10.6	3.3	y	229.3	191.58	0.0	1.0
101	Rh_m	10.6	4.34	d	229.3	191.58	1.27	1.0
101	Ru	0.81	14000000000.0	y	229.3	14.69	0.0	1.0
100	Rh	4.88	20.5	h	227.03	88.2	2.93	1.0
100	Rh_m	4.88	4.6	m	227.03	88.2	88.19	1.0
98	Tc	0.81	6.0	y	222.49	14.69	0.0	1.0
