Target: 27Al
Thickness: 0.338 mg/cm2

Beam: 84Kr
Energy: 420 MeV
Rate: 1.00e+09 pps
Running Time: 3600.0 sec

#A	Isotope	xsec(mb)	t1/2_value	t1/2_unit	Recoil_E(MeV)	Prodx_Rate(pps)	Prodx_A(Bq)	Stopping_Ratio
106	In	40.6	6.2	m	303.52	305.97	305.59	1.0
106	In_m	40.6	5.2	m	303.52	305.97	305.86	1.0
106	Cd	62.7	14000000000.0	y	303.52	472.52	0.0	1.0
106	Ag	8.61	23.96	m	303.52	64.89	53.44	1.0
106	Ag_m	8.61	8.28	d	303.52	64.89	0.23	1.0
105	In	72.6	5.07	m	300.66	547.12	546.97	1.0
105	In_m	72.6	48.0	s	300.66	547.12	547.12	1.0
105	Cd	320.0	55.5	m	300.66	2411.57	1271.5	1.0
105	Ag	68.9	41.29	d	300.66	519.24	0.36	1.0
105	Ag_m	68.9	7.23	m	300.66	519.24	517.59	1.0
105	Pd	3.69	14000000000.0	y	300.66	27.81	0.0	1.0
104	In	4.92	1.8	m	297.79	37.08	37.08	1.0
104	In_m	4.92	15.7	s	297.79	37.08	37.08	1.0
104	Cd	51.7	57.7	m	297.79	389.62	200.09	1.0
104	Ag	20.9	69.2	m	297.79	157.51	71.14	1.0
104	Ag_m	20.9	33.5	m	297.79	157.51	111.98	1.0
103	Ag	84.9	65.7	m	294.93	639.82	300.04	1.0
103	Ag_m	84.9	5.7	s	294.93	639.82	639.82	1.0
103	Pd	43.1	16.99	d	294.93	324.81	0.55	1.0
103	Rh	4.92	14000000000.0	y	294.93	37.08	0.0	1.0
103	Rh_m	4.92	56.11	m	294.93	37.08	19.41	1.0
103	Ru	1.23	39.25	d	294.93	9.27	0.01	1.0
102	Ag	157.0	12.9	m	292.07	1183.18	1136.06	1.0
102	Ag_m	157.0	7.7	m	292.07	1183.18	1177.83	1.0
102	Pd	135.0	14000000000.0	y	292.07	1017.38	0.0	1.0
102	Rh	17.2	207.3	d	292.07	129.62	0.02	1.0
102	Rh_m	17.2	3.74	y	292.07	129.62	0.0	1.0
101	Ag	4.92	11.1	m	289.2	37.08	36.2	1.0
101	Ag_m	4.92	3.1	s	289.2	37.08	37.08	1.0
101	Pd	11.1	8.47	h	289.2	83.65	6.57	1.0
101	Rh	1.23	3.3	y	289.2	9.27	0.0	1.0
101	Rh_m	1.23	4.34	d	289.2	9.27	0.06	1.0
100	Rh	33.2	20.5	h	286.34	250.2	8.32	1.0
100	Rh_m	33.2	4.6	m	286.34	250.2	250.17	1.0
100	Ru	7.38	14000000000.0	y	286.34	55.62	0.0	1.0
99	Rh	52.9	16.1	d	283.48	398.66	0.71	1.0
99	Rh_m	52.9	4.7	h	283.48	398.66	54.65	1.0
99	Ru	12.3	14000000000.0	y	283.48	92.69	0.0	1.0
98	Rh	1.23	8.72	m	280.61	9.27	9.19	1.0
98	Rh_m	1.23	3.6	m	280.61	9.27	9.27	1.0
98	Ru	2.46	14000000000.0	y	280.61	18.54	0.0	1.0
97	Tc	2.46	6.0	y	277.75	18.54	0.0	1.0
97	Tc_m	2.46	91.0	d	277.75	18.54	0.01	1.0
96	Tc	2.46	4.28	d	274.89	18.54	0.12	1.0
96	Tc_m	2.46	51.5	m	274.89	18.54	10.27	1.0
